Book Id	Title	Author	Publisher 	Year
1	A Semantic Web Primer	"G. Antoniou, Frank van Harmelen"	MIT Press	2004
2	Towards the Semantic Web: Ontology Driven Knowledge Management	"J. Davies, Dieter Fensel, Frank van Harmelen"	John Wiley	2003
3	Explorer's Guide To the Semantic Web	Thomas Passin	Manning	2004
4	"The Semantic Web: A Guide to the Future of XML, Web Services and Knowledge Management"	"Daconta, M., et al."	John Wiley	2003
5	Practical RDF	"Powers, S."	O'Reilly	2003
6	Spinning the Web	"Fensel, D., et al"	MIT Press	2002
7	Professional XML Metadata	"Ahmed, K., et al."	Wrox	2000
8	Data on the Web	"Serge Abiteboul, Peter Buneman, Dan Suciu"	Morgan Kaufmann	2000
9	XQuery: The XML Query Language	Michael Brundage	Adison-Wesley	2004
10	XQuery from the Experts	Howard Katz	Adison-Wesley	2004
11	Effective XML: 50 Specfic Ways to Improve your XML	Elliotte Rusty Harold	Adison-Wesley	2004
12	An Introduction to Database Systems	Chris Date	Adison-Wesley	2003
13	XSLT: A Programmers Reference	Michael Kay	Wrox	2001
14	XSLT: A Beginner's Guide	Jeni Tennison	Wrox	2002
15	Weaving The Web	Tim Berners-Lee	Orion Business	1999
16	Professional XML  	Martin Didier	Wrox	2000
17	The XML Handbook	"Charles Goldfarb, Peter Prescod"	Prentice-Hall	1998
18	Dynamic HTML 	Danny Goodman	O'Reilly	1998
19	XML: a Primer	Simon St Laurent	MIS Press Ltd	1998
20	"Compilers: Principles, Techniques, and Tools"	"Alfred Aho, Ravi Sethi, Jeffery Ullman"	Adison-Wesley	1988
21	The XML Companion	Neil Bradley	Adison-Wesley	2001
22	XML Schemas	Neil Bradley	Adison-Wesley	2002
23	XML in Action 	William Pardi	Microsoft Press	1998
